# Drag Curve (Up to date),
# 2974 data points written for 2 variables.,
# Simulation warnings:,
#   No recovery device defined in the simulation.,
#   Open forward airframe (diameter > 0):  ""Transition""",
#,
# Mach number (​),Drag coefficient (​)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.,
# Event IGNITION occurred at t=0 seconds,
# Event LAUNCH occurred at t=0 seconds,
0,1.76
0,1.76
0,1.76
0,1.76
5.56E-04,1.358
0.002,1.031
0.004,0.918
# Event LIFTOFF occurred at t=0.07 seconds,
0.005,0.865
0.007,0.838
0.008,0.819
0.009,0.803
0.01,0.789
0.011,0.776
0.013,0.765
0.014,0.755
0.015,0.746
0.017,0.737
0.018,0.73
0.019,0.723
0.021,0.716
0.022,0.71
0.024,0.704
0.025,0.699
0.027,0.694
0.029,0.69
# Event LAUNCHROD occurred at t=0.25 seconds,
0.03,0.685
0.033,0.679
0.036,0.674
0.038,0.674
0.042,0.674
0.046,0.674
0.053,0.675
0.055,0.675
0.058,0.675
0.062,0.675
0.068,0.675
0.072,0.675
0.077,0.676
0.086,0.676
0.089,0.676
0.093,0.676
0.1,0.677
0.106,0.677
0.115,0.678
0.124,0.678
0.133,0.679
0.142,0.679
0.15,0.68
0.159,0.681
0.168,0.682
0.177,0.682
0.186,0.683
0.195,0.684
0.203,0.685
0.212,0.686
0.22,0.687
0.229,0.688
0.237,0.689
0.246,0.69
0.254,0.691
0.262,0.692
0.27,0.693
0.279,0.695
0.287,0.696
0.294,0.697
0.302,0.698
0.31,0.7
0.317,0.701
0.323,0.702
0.328,0.703
0.332,0.703
0.334,0.704
0.334,0.704
0.332,0.704
0.33,0.703
0.328,0.703
0.325,0.702
0.322,0.702
0.319,0.701
0.316,0.701
0.313,0.7
0.309,0.7
# Event BURNOUT occurred at t=2.7 seconds, .
# Event EJECTION_CHARGE occurred at t=2.7 seconds, .
# Event STAGE_SEPARATION occurred at t=2.7 seconds, .
0.306,0.479
0.303,0.479
0.301,0.478
0.298,0.478
0.295,0.477
0.292,0.477
0.29,0.477
0.287,0.476
0.284,0.476
0.282,0.475
0.279,0.475
0.276,0.475
0.274,0.474
0.271,0.474
0.269,0.474
0.266,0.473
0.264,0.473
0.261,0.473
0.259,0.472
0.257,0.472
0.254,0.472
0.252,0.471
0.249,0.471
0.247,0.471
0.245,0.47
0.242,0.47
0.24,0.47
0.238,0.47
0.236,0.469
0.233,0.469
0.231,0.469
0.229,0.468
0.227,0.468
0.225,0.468
0.222,0.468
0.22,0.467
0.218,0.467
0.216,0.467
0.214,0.467
0.212,0.466
# Event IGNITION occurred at t=4.7 seconds,
0.21,0.466
0.211,0.466
0.222,0.468
0.234,0.469
0.246,0.471
0.26,0.472
0.274,0.474
0.288,0.476
0.302,0.479
0.316,0.481
