Mach,CD
0.01,0.7219607317233587786138020572
0.02,0.7929744673542067741604181515
0.03,0.8051762356937090147148118530
0.04,0.8060824731817941228045626079
0.05,0.8037305849892090805718829194
0.06,0.8003364089253314229498053940
0.07,0.7966641401048135099788829650
0.08,0.7930079767366624905178433293
0.09,0.7894846032897742672420008030
0.10,0.7861369882314178446613666379
0.11,0.7829757748241186240206001717
0.12,0.7799972356835150220005266488
0.13,0.7771914713467453131655152493
0.14,0.7745463095085953982826611008
0.15,0.7720491358402389628169090313
0.16,0.7696877929300837784515972292
0.17,0.7674509463466764045733989679
0.18,0.7653282225811238000792967665
0.19,0.7633102200644877386981623259
0.20,0.7613884612324176154950062144
0.21,0.7595553443193781227052146790
0.22,0.7578039599206872026423904608
0.23,0.7561281648990994383266695308
0.24,0.7545224023057085300971508909
0.25,0.7529816587963824899802772193
0.26,0.7521304755680337639993276949
0.27,0.7513356910677727586284651893
0.28,0.7505935488744071219319638111
0.29,0.7499006756981707712672293568
0.30,0.7492540132964462213983085009
0.31,0.7486506774794436796011428852
0.32,0.7480881156182442830595143786
0.33,0.7475639731447219595519081582
0.34,0.7470760405791893248080648059
0.35,0.7466223266926775316784575718
0.36,0.7462010129109273725844249810
0.37,0.7458103389557487874196441037
0.38,0.7454487079457171163724131079
0.39,0.7451147116644405085013027011
0.40,0.7448069542086786742659236391
0.41,0.7445241346638816004826354676
0.42,0.7442651472206480511707104514
0.43,0.7440288256793746062520981749
0.44,0.7438141227238246979598008471
0.45,0.7436201348811819331194347590
0.46,0.7434459110896206958675204821
0.47,0.7432906027947273118973573898
0.48,0.7431534856817867819770426514
0.49,0.7430337008740443708618523088
0.50,0.7429306005849892535316313576
0.51,0.7428435507424309709515300694
0.52,0.7427718571035649410313985519
0.53,0.7427149739179597538091394585
0.54,0.7426723103585597430989731508
0.55,0.7426433677420503107467180538
0.56,0.7426276134470352914010305596
0.57,0.7426245875027796694932970378
0.58,0.7426338698376035517696000099
0.59,0.7426549701708001113765574327
0.60,0.7426875125285041968496153437
0.61,0.7438694422271109145777995797
0.62,0.7450212167466590716527712087
0.63,0.7461833890971142109290311307
0.64,0.7473554544112158517855340022
0.65,0.7485372098729330454191427825
0.66,0.7497284832987703886785526156
0.67,0.7509286967945853858522418874
0.68,0.7521377271666632407635550108
0.69,0.7533554491855404498122396321
0.70,0.7545813060004193887933537762
0.71,0.7558152092332268390282508155
0.72,0.7570570807352685677308736595
0.73,0.7583063870393265397101029269
0.74,0.7595630688256700080912342924
0.75,0.7608270754448289279811927082
0.76,0.7620979058368481484869278692
0.77,0.7633755125366399243716599688
0.78,0.7646598747597412066555366589
0.79,0.7659505072886419044008719320
0.80,0.7672473965693991165271857609
0.81,0.7685503803930365031834267613
0.82,0.7698593025840227618228115888
0.83,0.7711740127096686075965298131
0.84,0.7724945208040872555253375273
0.85,0.7738203771207700403855556940
