Mach,CD
0.01,0.3225991342636697230077371653
0.02,0.3802982150933539632865757712
0.03,0.3922061902591121757534744819
0.04,0.3946249054455206750606636630
0.05,0.3940918036410013638888920437
0.06,0.3924841929568906976960023858
0.07,0.3904811423361789605419858299
0.08,0.3883619508780532387974669665
0.09,0.3862495729585939628770575463
0.10,0.3853022861263607060408115713
0.11,0.3852629112592320668707080934
0.12,0.3852235648667398014493540429
0.13,0.3851842471035258020860366375
0.14,0.3851449581215188086447500719
0.15,0.3851056980699687769990931955
0.16,0.3850664670954866697413554555
0.17,0.3850272653420766722427624605
0.18,0.3849880929511719960381417331
0.19,0.3849489500616704822105884633
0.20,0.3849098368099713047761312624
0.21,0.3848707533300021994195575344
0.22,0.3848316997532599542034994204
0.23,0.3847926762088373208393751322
0.24,0.3847536828234593180720547061
0.25,0.3847147197215126953454534510
0.26,0.3847609505450807187223136636
0.27,0.3848072285339681122956098100
0.28,0.3848535205257379965029823553
0.29,0.3848998599157394993976790976
0.30,0.3849462135371354853843805400
0.31,0.3849925981409351712794454538
0.32,0.3850390304760209375818522120
0.33,0.3850854773691780921387922377
0.34,0.3851319722051215639517273008
0.35,0.3851784818065246493770989270
0.36,0.3852250395540458059323856951
0.37,0.3852716122663565810319286079
0.38,0.3853182333201677057929883892
0.39,0.3853648695302543364471506644
0.40,0.3854115376294815481463832572
0.41,0.3854582543488337811637455996
0.42,0.3855050031374351949803737226
0.43,0.3855517674425765795564215909
0.44,0.3855985806297407142073503218
0.45,0.3856454095026240566206812530
0.46,0.3856922707831637541269372767
0.47,0.3857391811915571628568597538
0.48,0.3857861075262883590123498484
0.49,0.3858330831441505278832215949
0.50,0.3858800748402667353990709272
0.51,0.3859271159681124346109127840
0.52,0.3859741733195405071025862902
0.53,0.3860212802447984821479716720
0.54,0.3860684035325527431926273618
0.55,0.3861155765299085994056590279
0.56,0.3861627660224317572315886031
0.57,0.3862099887141673570124552378
0.58,0.3862572613076604096099162531
0.59,0.3863045505839790378166523218
0.60,0.3863518898827297081891641931
0.61,0.3865533656620783025996417216
0.62,0.3867493504587694548580648201
0.63,0.3869453688081463873343044125
0.64,0.3871414374041675951855712724
0.65,0.3873375063794259655136329379
0.66,0.3875336423451690314517987024
0.67,0.3877297954313135039977163389
0.68,0.3879259823264640911705890150
0.69,0.3881222030779316997035081692
0.70,0.3883184577317504192709023496
0.71,0.3885147463326944067159860525
0.72,0.3887110689242946528133245227
0.73,0.3889074255488538141016304777
0.74,0.3891038162474660669707490988
0.75,0.3893002410600308045646866790
0.76,0.3894967000252672686144073473
0.77,0.3896931931807338860599340213
0.78,0.3898897205628411484884930173
0.79,0.3900862822068659439673107745
0.80,0.3902828781469707762008307696
0.81,0.3904795250562132915742060125
0.82,0.3906761730465656983105159608
0.83,0.3908728887089258284440270917
0.84,0.3910696221531328871178736646
0.85,0.3912663900479811494870863684
0.86,0.3914631924212365449460411607
0.87,0.3916600292996439143124156102
0.88,0.3918569007089488988439419646
0.89,0.3920538066739029624925954169
0.90,0.3922507472182837285266950585
0.91,0.394918052299368
0.92,0.402919967542621
0.93,0.419458673121135
0.94,0.440533211413282
0.95,0.461607749705429
0.96,0.482682287997577
0.97,0.503756826289724
0.98,0.524831364581872
0.99,0.545905902874019
1.00,0.566980441166167
1.01,0.588054979458314
1.02,0.609129517750461
1.03,0.630204056042609
1.04,0.651278594334756
1.05,0.6723531326269038352932860249
1.06,0.6691234327068315885079028124
1.07,0.6665839265725841732951025830
1.08,0.6645090199093764827334545737
1.09,0.6627635505909351204888258170
1.10,0.6612609328713474296410788421
1.11,0.6599427816241679586490235046
1.12,0.6587680865804936769944694648
1.13,0.6577070932881320089639735187
1.14,0.6567376212984234984962000923
1.15,0.6558427567159494641293641231
1.16,0.6541177198152346257884561486
1.17,0.6524148123944598865565878963
1.18,0.6507583687865613348222182307
1.19,0.6490218038125526649592181345
1.20,0.6470070715268723618909380576
1.21,0.6450256894571774403983282345
1.22,0.6430738542030768636171789696
1.23,0.6411480529504548940329562427
1.24,0.6392457123632018772942452258
1.25,0.6373643272281137279806002043
1.26,0.6355017367532381622061658911
1.27,0.6336562605958761989954269907
1.28,0.6318263425767133841611871760
1.29,0.6300106467179334621602835686
1.30,0.6282077850413661649573231987
1.31,0.6264170255158737232611344818
1.32,0.6246371415811826928230469274
1.33,0.6228675339638976693288953906
1.34,0.6211072969698682527410653649
1.35,0.6193559875622401425087512007
1.36,0.6176128443333094656264545291
1.37,0.6158774687926190189588947808
1.38,0.6141494278117082086551421596
1.39,0.6124283192204788039535091791
1.40,0.6107136929406363044449281357
1.41,0.6090052274538860089183473654
1.42,0.6073026579604475267094567249
1.43,0.6056058301216230909404497739
1.44,0.6039144039983629093406509815
1.45,0.6022282116413268426183571726
1.46,0.6005470701414512805311237599
1.47,0.5988707197724172697414807605
1.48,0.5971992117747953745885560759
1.49,0.5955322497330387519060835301
1.50,0.5938697128976369987630848781
1.51,0.5922116058170831001707182839
1.52,0.5905577528105874897185674803
1.53,0.5889081801793151666290837105
1.54,0.5872626341431553104116322460
1.55,0.5856212409300572671459246350
1.56,0.5839837830509451805703353811
1.57,0.5823504015427743720048842112
1.58,0.5807208724920696259224230332
1.59,0.5790952719082743215597683377
1.60,0.5774734761423165276122715413
1.61,0.5758555703820149594499718770
1.62,0.5742414520067054956178966359
1.63,0.5726312144704475913663204919
1.64,0.5710246327388822183682008243
1.65,0.5694219362813888873863538378
1.66,0.5678229978736054521980386053
1.67,0.5662277402597492606967307471
1.68,0.5646363727958223788031730612
1.69,0.5630486928290981370155884655
1.70,0.5614648229807105904928126453
1.71,0.5598846643323523882519965846
1.72,0.5583082313395207536663640486
1.73,0.5567356401421346228279211336
1.74,0.5551668263758757556153964137
1.75,0.5536018771261346277454280228
1.76,0.5520406213978535936665338214
1.77,0.5504831767413966652256327224
1.78,0.5489295636701849956857256396
1.79,0.5473798016940452916298520138
1.80,0.5458338105465165754269017311
1.81,0.5442917012961780902325430009
1.82,0.5427535032683190507330506085
1.83,0.5412191281429900877097482680
1.84,0.5396886068911967179187302757
1.85,0.5381619392148754280934484738
1.86,0.5366391657803710980831926152
1.87,0.5351202975517200052921628538
1.88,0.5336053346495404686971506903
1.89,0.5320943263586698624438283759
1.90,0.5305872832033669043728063933
1.91,0.5290841142595771010273280416
1.92,0.5275849382110047726609640216
1.93,0.5260896743167165372620600895
1.94,0.5245983408579477917621410518
1.95,0.5231110551574873050771114852
1.96,0.5216276250224176480514851054
1.97,0.5201482772613884849544831632
1.98,0.5186729186302355805785693663
1.99,0.5172014644249479146837285046
2.00,0.5157340412339207214760966780
2.01,0.5143887035991151321361464233
2.02,0.5130424846377216528642273417
2.03,0.5117023455838404634447711089
2.04,0.5103681899044679857510981845
2.05,0.5090399997597704991058304684
2.06,0.5077177689772151001588595890
2.07,0.5064016004640606901043940984
2.08,0.5050912670556630281039731674
2.09,0.5037869611008276189427233845
2.10,0.5024884864499679343268153029
2.11,0.5011958252193601454425616065
2.12,0.4999091798069649258532115362
2.13,0.4986283232382702443182795709
2.14,0.4973532579807056716754654005
2.15,0.4960839755858721564340055697
2.16,0.4948205681977048661437356309
2.17,0.4935628081367988445487272539
2.18,0.4923109071545950510066002249
2.19,0.4910647464485220594531847530
2.20,0.4898242177312388806759443524
2.21,0.4885894117963311591280482182
2.22,0.4873603095839950696072368471
2.23,0.4861368121574372082984558080
2.24,0.4849190000095607116544129601
2.25,0.4837067637431915894869809143
2.26,0.4825000930655328945272276122
2.27,0.4812989777970295680077653568
2.28,0.4801035081728817899105820292
2.29,0.4789134635354713592492430095
2.30,0.4777289423690791987080945444
2.31,0.4765499248210463407776801298
2.32,0.4753763989079845447880970243
2.33,0.4742082536604884845083908924
2.34,0.4730454672503102073014650464
2.35,0.4718881482160756302366382021
2.36,0.4707362636616502665403847233
2.37,0.4695896110712967866012068168
2.38,0.4684482694370097047085936027
2.39,0.4673123140185704698883031001
2.40,0.4661815533215683249979825987
2.41,0.4650560633151961082803882908
2.42,0.4639358208809108254071731246
2.43,0.4628207221080623276989394134
2.44,0.4617108534129911480494667973
2.45,0.4606061904353345198990456483
2.46,0.4595065186009110699295843606
2.47,0.4584120236531030395428580043
2.48,0.4573225911050625519973739428
2.49,0.4562382052053176562744931460
2.50,0.4551588415593331386867049237
2.51,0.4540844945130177133585325641
2.52,0.4530150482127085216393714565
2.53,0.4519505771072653467832034265
2.54,0.4508910654320865303825167445
2.55,0.4498363962315818214679180981
2.56,0.4487865638365104153886896650
2.57,0.4477416213923599614338405223
2.58,0.4467014718606169969243701388
2.59,0.4456661089667928180191564081
2.60,0.4446353948182606620113133861
2.61,0.4436095127564235862871992651
2.62,0.4425883449958104994844428227
2.63,0.4415717835807739359940226384
2.64,0.4405598912920744106074791202
2.65,0.4395525593695254127681902893
2.66,0.4385497697948843151650412493
2.67,0.4375516048150165691078842229
2.68,0.4365579451801312331809830749
2.69,0.4355688527997629158980850660
2.70,0.4345841381152372520657330847
2.71,0.4336038527100735800210457974
2.72,0.4326279971492448239230751679
2.73,0.4316565426906539189215432590
